id,review_text,rating,sentiment,date_scraped,text_length,source,nlp_tokens,nlp_no_stopwords,nlp_stems,nlp_term_frequency,feedback_id,review_timestamp_label,vector_terms,vector_values,vec_baik,vec_packing,vec_tv,vec_barang,vec_sampa,vec_aman,vec_awet,vec_lamat,vec_ragu,vec_toko,vec_alhamdulil,vec_bagus,vec_moga,vec_amanah,vec_pas,vec_mantep,vec_kurir,vec_ukur,vec_inch,vec_kualitas,vec_erja,vec_kapasitas,vec_sesuai,vec_desain
1,"Barang telah sampai dengan selamat dan amanah, awalnya ragu babelworf nya ada yang robek tapi pas di buka kardusnya tebel dalem nya juga ada busanya sangat aman sekali, mantep sih kurir juga ramah layar jernih ukuran 32 inch mantep pokoknya tokonya josss Kualitas pengerjaan: Sangat mudah Kapasitas: Sesuai dan baik Desain: elegan",5,positive,2026-01-10 11:15:38,330,tokopedia_review_page,"['barang', 'telah', 'sampai', 'dengan', 'selamat', 'dan', 'amanah', 'awalnya', 'ragu', 'babelworf', 'nya', 'ada', 'yang', 'robek', 'tapi', 'pas', 'di', 'buka', 'kardusnya', 'tebel', 'dalem', 'nya', 'juga', 'ada', 'busanya', 'sangat', 'aman', 'sekali', 'mantep', 'sih', 'kurir', 'juga', 'ramah', 'layar', 'jernih', 'ukuran', '32', 'inch', 'mantep', 'pokoknya', 'tokonya', 'joss', 'kualitas', 'pengerjaan', 'sangat', 'mudah', 'kapasitas', 'sesuai', 'dan', 'baik', 'desain', 'elegan']","['barang', 'sampai', 'selamat', 'amanah', 'awalnya', 'ragu', 'babelworf', 'robek', 'pas', 'buka', 'kardusnya', 'tebel', 'dalem', 'busanya', 'aman', 'mantep', 'kurir', 'ramah', 'layar', 'jernih', 'ukuran', '32', 'inch', 'mantep', 'pokoknya', 'tokonya', 'joss', 'kualitas', 'pengerjaan', 'mudah', 'kapasitas', 'sesuai', 'baik', 'desain', 'elegan']","['barang', 'sampa', 'lamat', 'amanah', 'awal', 'ragu', 'babelworf', 'robek', 'pas', 'buka', 'kardus', 'tebel', 'dalem', 'busa', 'aman', 'mantep', 'kurir', 'ramah', 'layar', 'jernih', 'ukur', '32', 'inch', 'mantep', 'pokok', 'toko', 'joss', 'kualitas', 'erja', 'mudah', 'kapasitas', 'sesuai', 'baik', 'desain', 'eleg']","{'barang': 1, 'sampa': 1, 'lamat': 1, 'amanah': 1, 'awal': 1, 'ragu': 1, 'babelworf': 1, 'robek': 1, 'pas': 1, 'buka': 1, 'kardus': 1, 'tebel': 1, 'dalem': 1, 'busa': 1, 'aman': 1, 'mantep': 2, 'kurir': 1, 'ramah': 1, 'layar': 1, 'jernih': 1, 'ukur': 1, '32': 1, 'inch': 1, 'pokok': 1, 'toko': 1, 'joss': 1, 'kualitas': 1, 'erja': 1, 'mudah': 1, 'kapasitas': 1, 'sesuai': 1, 'baik': 1, 'desain': 1, 'eleg': 1}",1861296155,5 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[1, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0, 0, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]",1,0,0,1,1,1,0,1,1,1,0,0,0,1,1,2,1,1,1,1,1,1,1,1
3,original bergaransi. packing tanpa KAYU untung aman meskipun bubble 1 lapis sudah banyak yang sobek,5,positive,2025-12-15 02:34:06,99,tokopedia_review_page,"['original', 'bergaransi', 'packing', 'tanpa', 'kayu', 'untung', 'aman', 'meskipun', 'bubble', '1', 'lapis', 'sudah', 'banyak', 'yang', 'sobek']","['original', 'bergaransi', 'packing', 'tanpa', 'kayu', 'untung', 'aman', 'meskipun', 'bubble', 'lapis', 'sobek']","['original', 'garans', 'packing', 'tanpa', 'kayu', 'untung', 'aman', 'mesk', 'bubble', 'lapis', 'sobek']","{'original': 1, 'garans': 1, 'packing': 1, 'tanpa': 1, 'kayu': 1, 'untung': 1, 'aman': 1, 'mesk': 1, 'bubble': 1, 'lapis': 1, 'sobek': 1}",1815412126,6 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,"barang sudah sampai dan diterima dengan kondisi baik,sudah di tes nyala dan berfungsi dengan baik, dapet garansi juga, thanks to seller and tokopedia",5,positive,2025-08-02 01:06:40,149,tokopedia_review_page,"['barang', 'sudah', 'sampai', 'dan', 'diterima', 'dengan', 'kondisi', 'baik', 'sudah', 'di', 'tes', 'nyala', 'dan', 'berfungsi', 'dengan', 'baik', 'dapet', 'garansi', 'juga', 'thanks', 'to', 'seller', 'and', 'tokopedia']","['barang', 'sampai', 'diterima', 'kondisi', 'baik', 'tes', 'nyala', 'berfungsi', 'baik', 'dapet', 'garansi', 'thanks', 'to', 'seller', 'and', 'tokopedia']","['barang', 'sampa', 'terima', 'kondis', 'baik', 'tes', 'nyala', 'fungsi', 'baik', 'dapet', 'garans', 'thanks', 'to', 'ller', 'and', 'tokopedia']","{'barang': 1, 'sampa': 1, 'terima': 1, 'kondis': 1, 'baik': 2, 'tes': 1, 'nyala': 1, 'fungsi': 1, 'dapet': 1, 'garans': 1, 'thanks': 1, 'to': 1, 'ller': 1, 'and': 1, 'tokopedia': 1}",1605288244,10 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[2, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Kualitas pengerjaan: baik Kapasitas: baik Desain: baguss bangettt bazzelles cocok buat main game,5,positive,2025-07-22 05:37:03,96,tokopedia_review_page,"['kualitas', 'pengerjaan', 'baik', 'kapasitas', 'baik', 'desain', 'baguss', 'bangett', 'bazzelles', 'cocok', 'buat', 'main', 'game']","['kualitas', 'pengerjaan', 'baik', 'kapasitas', 'baik', 'desain', 'baguss', 'bangett', 'bazzelles', 'cocok', 'main', 'game']","['kualitas', 'erja', 'baik', 'kapasitas', 'baik', 'desain', 'baguss', 'bangett', 'bazzelles', 'cocok', 'main', 'game']","{'kualitas': 1, 'erja': 1, 'baik': 2, 'kapasitas': 1, 'desain': 1, 'baguss': 1, 'bangett': 1, 'bazzelles': 1, 'cocok': 1, 'main': 1, 'game': 1}",1584871033,10 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 0, 1]",2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1
8,"Alhamdulillah sampai dengan selamat, Langsung unboxing dinyalain aman. Agak ragu karna pertama kali beli barang gede. Tapi ok tidak ada cacat .. semoga awet .",5,positive,2025-07-04 16:09:40,158,tokopedia_review_page,"['alhamdulillah', 'sampai', 'dengan', 'selamat', 'langsung', 'unboxing', 'dinyalain', 'aman', 'agak', 'ragu', 'karna', 'pertama', 'kali', 'beli', 'barang', 'gede', 'tapi', 'ok', 'tidak', 'ada', 'cacat', 'semoga', 'awet']","['alhamdulillah', 'sampai', 'selamat', 'langsung', 'unboxing', 'dinyalain', 'aman', 'agak', 'ragu', 'karna', 'pertama', 'kali', 'beli', 'barang', 'gede', 'ok', 'tidak', 'cacat', 'semoga', 'awet']","['alhamdulil', 'sampa', 'lamat', 'langsung', 'unboxing', 'nyalain', 'aman', 'agak', 'ragu', 'karna', 'tama', 'kali', 'beli', 'barang', 'gede', 'ok', 'tidak', 'cacat', 'moga', 'awet']","{'alhamdulil': 1, 'sampa': 1, 'lamat': 1, 'langsung': 1, 'unboxing': 1, 'nyalain': 1, 'aman': 1, 'agak': 1, 'ragu': 1, 'karna': 1, 'tama': 1, 'kali': 1, 'beli': 1, 'barang': 1, 'gede': 1, 'ok': 1, 'tidak': 1, 'cacat': 1, 'moga': 1, 'awet': 1}",1555843157,11 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 0, 0, 1, 1, 1, 1, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
4,"Pokonya jangan ragu lagi kalau mau beli di toko ini, amanah, bagus, packing rapih, tv nya nyala gak ada yang cacat ataupun rusak, pokonya best bangeut, smoga tv nya awet",5,positive,2025-06-18 21:04:50,169,tokopedia_review_page,"['pokonya', 'jangan', 'ragu', 'lagi', 'kalau', 'mau', 'beli', 'di', 'toko', 'ini', 'amanah', 'bagus', 'packing', 'rapih', 'tv', 'nya', 'nyala', 'gak', 'ada', 'yang', 'cacat', 'ataupun', 'rusak', 'pokonya', 'best', 'bangeut', 'smoga', 'tv', 'nya', 'awet']","['pokonya', 'ragu', 'kalau', 'mau', 'beli', 'toko', 'amanah', 'bagus', 'packing', 'rapih', 'tv', 'nyala', 'gak', 'cacat', 'ataupun', 'rusak', 'pokonya', 'best', 'bangeut', 'smoga', 'tv', 'awet']","['poko', 'ragu', 'kalau', 'mau', 'beli', 'toko', 'amanah', 'bagus', 'packing', 'rapih', 'tv', 'nyala', 'gak', 'cacat', 'atau', 'rusak', 'poko', 'best', 'bangeut', 'smoga', 'tv', 'awet']","{'poko': 2, 'ragu': 1, 'kalau': 1, 'mau': 1, 'beli': 1, 'toko': 1, 'amanah': 1, 'bagus': 1, 'packing': 1, 'rapih': 1, 'tv': 2, 'nyala': 1, 'gak': 1, 'cacat': 1, 'atau': 1, 'rusak': 1, 'best': 1, 'bangeut': 1, 'smoga': 1, 'awet': 1}",1529824028,12 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 1, 2, 0, 0, 0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,1,2,0,0,0,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
7,"Respon toko cepat sat set, sesuai diskripsi Bagus lumayan utk ukuran 32 inch. hanya sayang pengiriman KURIR JNE TERLALU LAMA BERHENTI DAN KADANG TIDAK UPDATE POSISINYA. Utk tokopedia JNE sering sperti itukah??????.",5,positive,2025-06-17 09:50:38,214,tokopedia_review_page,"['respon', 'toko', 'cepat', 'sat', 'set', 'sesuai', 'diskripsi', 'bagus', 'lumayan', 'utk', 'ukuran', '32', 'inch', 'hanya', 'sayang', 'pengiriman', 'kurir', 'jne', 'terlalu', 'lama', 'berhenti', 'dan', 'kadang', 'tidak', 'update', 'posisinya', 'utk', 'tokopedia', 'jne', 'sering', 'sperti', 'itukah']","['respon', 'toko', 'cepat', 'sat', 'set', 'sesuai', 'diskripsi', 'bagus', 'lumayan', 'utk', 'ukuran', '32', 'inch', 'hanya', 'sayang', 'pengiriman', 'kurir', 'jne', 'terlalu', 'lama', 'berhenti', 'kadang', 'tidak', 'update', 'posisinya', 'utk', 'tokopedia', 'jne', 'sering', 'sperti', 'itukah']","['respon', 'toko', 'cepat', 'sat', 'set', 'sesuai', 'skrips', 'bagus', 'lumay', 'utk', 'ukur', '32', 'inch', 'hanya', 'sayang', 'kirim', 'kurir', 'jne', 'lalu', 'lama', 'hent', 'kadang', 'tidak', 'update', 'posis', 'utk', 'tokopedia', 'jne', 'ring', 'spert', 'itukah']","{'respon': 1, 'toko': 1, 'cepat': 1, 'sat': 1, 'set': 1, 'sesuai': 1, 'skrips': 1, 'bagus': 1, 'lumay': 1, 'utk': 2, 'ukur': 1, '32': 1, 'inch': 1, 'hanya': 1, 'sayang': 1, 'kirim': 1, 'kurir': 1, 'jne': 2, 'lalu': 1, 'lama': 1, 'hent': 1, 'kadang': 1, 'tidak': 1, 'update': 1, 'posis': 1, 'tokopedia': 1, 'ring': 1, 'spert': 1, 'itukah': 1}",1526646617,12 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 0, 0, 1, 0]",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,0
6,"Puas dengan Tv nya , tapi kecewa sama pengantaran dan packingnya pengantaran nunggu smpe 2 minggu packingnya juga katnya klau pengiriman d luar pulau jawa free packing kayu tpi pas datang malah cuman pake krdus itupun suda bolong2 jdi serasa d bohongin,, Tapi syukur Tv nya aman mulus no kendala",5,positive,2025-06-15 19:47:24,295,tokopedia_review_page,"['puas', 'dengan', 'tv', 'nya', 'tapi', 'kecewa', 'sama', 'pengantaran', 'dan', 'packingnya', 'pengantaran', 'nunggu', 'smpe', '2', 'minggu', 'packingnya', 'juga', 'katnya', 'klau', 'pengiriman', 'd', 'luar', 'pulau', 'jawa', 'free', 'packing', 'kayu', 'tpi', 'pas', 'datang', 'malah', 'cuman', 'pake', 'krdus', 'itupun', 'suda', 'bolong2', 'jdi', 'serasa', 'd', 'bohongin', 'tapi', 'syukur', 'tv', 'nya', 'aman', 'mulus', 'no', 'kendala']","['puas', 'tv', 'kecewa', 'pengantaran', 'packingnya', 'pengantaran', 'nunggu', 'smpe', 'minggu', 'packingnya', 'katnya', 'klau', 'pengiriman', 'luar', 'pulau', 'jawa', 'free', 'packing', 'kayu', 'tpi', 'pas', 'datang', 'malah', 'cuman', 'pake', 'krdus', 'itupun', 'suda', 'bolong2', 'jdi', 'serasa', 'bohongin', 'syukur', 'tv', 'aman', 'mulus', 'no', 'kendala']","['puas', 'tv', 'cewa', 'antar', 'packing', 'antar', 'nunggu', 'smpe', 'minggu', 'packing', 'katnya', 'klau', 'kirim', 'luar', 'pulau', 'jawa', 'free', 'packing', 'kayu', 'tpi', 'pas', 'datang', 'malah', 'cuman', 'pake', 'krdus', 'itupun', 'suda', 'bolong2', 'jdi', 'rasa', 'bohongin', 'syukur', 'tv', 'aman', 'mulus', 'no', 'ndala']","{'puas': 1, 'tv': 2, 'cewa': 1, 'antar': 2, 'packing': 3, 'nunggu': 1, 'smpe': 1, 'minggu': 1, 'katnya': 1, 'klau': 1, 'kirim': 1, 'luar': 1, 'pulau': 1, 'jawa': 1, 'free': 1, 'kayu': 1, 'tpi': 1, 'pas': 1, 'datang': 1, 'malah': 1, 'cuman': 1, 'pake': 1, 'krdus': 1, 'itupun': 1, 'suda': 1, 'bolong2': 1, 'jdi': 1, 'rasa': 1, 'bohongin': 1, 'syukur': 1, 'aman': 1, 'mulus': 1, 'no': 1, 'ndala': 1}",1524648745,12 bulan lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 3, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2,"Alhamdulillah barang diterima dgn baik... Gambar bagus, suara oke... Semoga awet",5,positive,2025-05-13 12:37:17,80,tokopedia_review_page,"['alhamdulillah', 'barang', 'diterima', 'dgn', 'baik', 'gambar', 'bagus', 'suara', 'oke', 'semoga', 'awet']","['alhamdulillah', 'barang', 'diterima', 'dgn', 'baik', 'gambar', 'bagus', 'suara', 'oke', 'semoga', 'awet']","['alhamdulil', 'barang', 'terima', 'dgn', 'baik', 'gambar', 'bagus', 'suara', 'oke', 'moga', 'awet']","{'alhamdulil': 1, 'barang': 1, 'terima': 1, 'dgn': 1, 'baik': 1, 'gambar': 1, 'bagus': 1, 'suara': 1, 'oke': 1, 'moga': 1, 'awet': 1}",1455839788,Lebih dari 1 tahun lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",1,0,0,1,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
10,Alhamdulillah tv.ny sudah sampai dengan selamat... Semoga awet....,5,positive,2025-04-18 20:10:41,66,tokopedia_review_page,"['alhamdulillah', 'tv', 'ny', 'sudah', 'sampai', 'dengan', 'selamat', 'semoga', 'awet']","['alhamdulillah', 'tv', 'ny', 'sampai', 'selamat', 'semoga', 'awet']","['alhamdulil', 'tv', 'ny', 'sampa', 'lamat', 'moga', 'awet']","{'alhamdulil': 1, 'tv': 1, 'ny': 1, 'sampa': 1, 'lamat': 1, 'moga': 1, 'awet': 1}",1445041406,Lebih dari 1 tahun lalu,"['baik', 'packing', 'tv', 'barang', 'sampa', 'aman', 'awet', 'lamat', 'ragu', 'toko', 'alhamdulil', 'bagus', 'moga', 'amanah', 'pas', 'mantep', 'kurir', 'ukur', 'inch', 'kualitas', 'erja', 'kapasitas', 'sesuai', 'desain']","[0, 0, 1, 0, 1, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",0,0,1,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
